0,-248169.453125
2,-228100.1875
4,-227905.671875
6,-227451.40625
8,-228244.53125
10,-228505.4375
12,-227948.765625
14,-228164.84375
16,-228673.5625
18,-228890.953125
20,-228900.25
22,-228202.421875
24,-228047.046875
26,-228315.703125
28,-228527.578125
30,-228832.796875
32,-228401.015625
34,-229204.515625
36,-228500
38,-228337.625
40,-228469.6875
42,-228867.328125
44,-228692.0625
46,-228534.9375
48,-228244.03125
50,-228489.546875
52,-228907.703125
54,-228755.875
56,-228448.140625
58,-228592.234375
60,-228413.078125
62,-228887.515625
64,-228139.03125
66,-228398.953125
68,-228410.828125
70,-228263.921875
72,-228298.53125
74,-228875.484375
76,-228303.875
78,-228671.328125
80,-228143.859375
82,-228513.265625
84,-228572.578125
86,-228529.84375
88,-228765.65625
90,-228607.78125
92,-228396.859375
94,-228850.8125
96,-228635.53125
98,-228213.46875
100,-228088.953125
